Highest Charting Position,Number of Times Charted,Song Name,Streams_x,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,artist_pop,track_pop,mode,key,instrumentalness,time_signature,Explicit,Track_Number_on_Album,Artist_Genres
69,11,VIBEZ,5121486,DaBaby,7601122,"['north carolina hip hop', 'rap']",75,0.768,0.652,-2.708,0.307,0.113,0.107,154.187,144935,0.777,C#/Db,82,71,0,1,0.0,4,1,4,"['north carolina hip hop', 'rap']"
182,1,Lottery (Renegade),4994448,K CAMP,1347589,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",61,0.915,0.556,-8.601,0.216,0.0145,0.0733,148.964,170947,0.67,C#/Db,63,56,1,1,0.000179,4,1,15,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
139,1,Borderline,5921044,Tame Impala,5064200,"['australian psych', 'neo-psychedelic']",77,0.621,0.873,-3.067,0.0369,0.0406,0.0824,97.96,237800,0.873,F,78,78,0,5,9.1e-06,4,0,3,"['australian psych', 'neo-psychedelic']"
61,3,Only The Young - Featured in Miss Americana,5111068,Taylor Swift,42227614,"['pop', 'post-teen pop']",63,0.56,0.78,-4.895,0.0517,0.00244,0.0714,93.516,157507,0.602,F,93,64,0,5,0.0,4,0,1,"['pop', 'post-teen pop']"
66,7,Yellow Hearts,6554824,Ant Saunders,82522,"['chill r&b', 'pop']",70,0.866,0.438,-8.943,0.0719,0.177,0.0743,129.039,223258,0.695,G,52,68,1,7,0.0,4,0,1,"['chill r&b', 'pop']"
113,5,FML,6350496,Arizona Zervas,621200,"['pop rap', 'rhode island rap']",74,0.822,0.575,-5.95,0.0934,0.113,0.106,100.087,223000,0.616,F,66,0,0,2,0.0,4,1,2,"['pop rap', 'rhode island rap']"
190,1,Hips Don't Lie (feat. Wyclef Jean),4918636,Shakira,22136717,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",83,0.778,0.824,-5.892,0.0707,0.284,0.405,100.024,218093,0.758,A#/Bb,85,83,0,10,0.0,4,0,3,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
123,6,223's (feat. 9lokknine),4781697,YNW Melly,6332535,"['melodic rap', 'trap']",68,0.932,0.547,-7.787,0.333,0.0388,0.0924,94.998,176640,0.695,C,73,65,0,0,0.0,4,1,1,"['melodic rap', 'trap']"
169,2,VALENTINO,4935492,24kGoldn,1276406,['cali rap'],74,0.746,0.717,-4.841,0.179,0.199,0.132,150.964,179133,0.523,A,74,72,0,9,0.0,4,1,1,['cali rap']
128,1,Candy,5632102,Doja Cat,8671649,"['dance pop', 'pop']",71,0.689,0.516,-5.857,0.0444,0.513,0.163,124.876,190920,0.209,G#/Ab,88,71,1,8,0.0,4,1,8,"['dance pop', 'pop', 'pop rap']"
